parameter_id,period_index,period_label,observed,note
PD-0001,0,t-9,5.7,
PD-0001,1,t-8,5.9,
PD-0001,2,t-7,5.8,
PD-0001,3,t-6,5.5,
PD-0001,4,t-5,6.8,
PD-0001,5,t-4,5.6,
PD-0001,6,t-3,6.0,
PD-0001,7,t-2,6.0,
PD-0001,8,t-1,6.2,
PD-0001,9,t-0,7.0,
PD-0002,0,t-9,19.7,
PD-0002,1,t-8,17.6,
PD-0002,2,t-7,23.1,
PD-0002,3,t-6,19.8,
PD-0002,4,t-5,21.0,
PD-0002,5,t-4,22.6,
PD-0002,6,t-3,21.4,
PD-0002,7,t-2,19.9,
PD-0002,8,t-1,18.4,
PD-0002,9,t-0,21.7,
PD-0003,0,t-9,17.4,
PD-0003,1,t-8,17.8,
PD-0003,2,t-7,18.4,
PD-0003,3,t-6,17.0,
PD-0003,4,t-5,17.0,
PD-0003,5,t-4,19.8,
PD-0003,6,t-3,19.5,
PD-0003,7,t-2,18.0,
PD-0003,8,t-1,19.6,
PD-0003,9,t-0,18.9,
PD-0004,0,t-9,2.0,
PD-0004,1,t-8,1.3,
PD-0004,2,t-7,1.9,
PD-0004,3,t-6,2.2,
PD-0004,4,t-5,1.4,
PD-0004,5,t-4,1.5,
PD-0004,6,t-3,1.7,
PD-0004,7,t-2,1.8,
PD-0004,8,t-1,2.1,
PD-0004,9,t-0,1.7,
PD-0005,0,t-9,15.7,
PD-0005,1,t-8,13.9,
PD-0005,2,t-7,14.3,
PD-0005,3,t-6,16.7,
PD-0005,4,t-5,15.4,
PD-0005,5,t-4,15.1,
PD-0005,6,t-3,16.7,
PD-0005,7,t-2,16.5,
PD-0005,8,t-1,16.3,
PD-0005,9,t-0,15.2,
PD-0006,0,t-9,8.6,
PD-0006,1,t-8,10.5,
PD-0006,2,t-7,9.0,
PD-0006,3,t-6,9.5,
PD-0006,4,t-5,8.3,
PD-0006,5,t-4,9.0,
PD-0006,6,t-3,9.4,
PD-0006,7,t-2,9.5,
PD-0006,8,t-1,8.4,
PD-0006,9,t-0,9.9,
PD-0007,0,t-9,8.5,
PD-0007,1,t-8,8.1,
PD-0007,2,t-7,8.0,
PD-0007,3,t-6,7.8,
PD-0007,4,t-5,7.9,
PD-0007,5,t-4,7.7,
PD-0007,6,t-3,7.6,
PD-0007,7,t-2,7.5,
PD-0007,8,t-1,7.6,
PD-0007,9,t-0,8.3,
PD-0008,0,t-9,6.6,
PD-0008,1,t-8,5.9,
PD-0008,2,t-7,7.1,
PD-0008,3,t-6,7.0,
PD-0008,4,t-5,7.0,
PD-0008,5,t-4,6.4,
PD-0008,6,t-3,7.7,
PD-0008,7,t-2,6.0,
PD-0008,8,t-1,7.3,
PD-0008,9,t-0,6.8,
PD-0009,0,t-9,10.2,
PD-0009,1,t-8,10.8,
PD-0009,2,t-7,10.9,
PD-0009,3,t-6,11.5,
PD-0009,4,t-5,11.4,
PD-0009,5,t-4,10.8,
PD-0009,6,t-3,11.3,
PD-0009,7,t-2,10.7,
PD-0009,8,t-1,10.7,
PD-0009,9,t-0,10.8,
PD-0010,0,t-9,8.6,
PD-0010,1,t-8,10.0,
PD-0010,2,t-7,8.5,
PD-0010,3,t-6,9.2,
PD-0010,4,t-5,10.5,
PD-0010,5,t-4,9.5,
PD-0010,6,t-3,9.9,
PD-0010,7,t-2,10.6,
PD-0010,8,t-1,9.8,
PD-0010,9,t-0,10.6,
PD-0011,0,t-9,8.2,
PD-0011,1,t-8,8.5,
PD-0011,2,t-7,8.0,
PD-0011,3,t-6,9.1,
PD-0011,4,t-5,9.1,
PD-0011,5,t-4,8.3,
PD-0011,6,t-3,9.5,
PD-0011,7,t-2,8.1,
PD-0011,8,t-1,8.4,
PD-0011,9,t-0,9.7,
PD-0012,0,t-9,3.6,
PD-0012,1,t-8,4.1,
PD-0012,2,t-7,3.7,
PD-0012,3,t-6,4.1,
PD-0012,4,t-5,3.9,
PD-0012,5,t-4,4.2,
PD-0012,6,t-3,3.8,
PD-0012,7,t-2,3.8,
PD-0012,8,t-1,4.1,
PD-0012,9,t-0,4.1,
PD-0013,0,t-9,2.5,
PD-0013,1,t-8,2.7,
PD-0013,2,t-7,3.1,
PD-0013,3,t-6,2.7,
PD-0013,4,t-5,3.5,
PD-0013,5,t-4,12.1,"logged note: one-time carrier disruption, resolved by the next cycle"
PD-0013,6,t-3,3.4,
PD-0013,7,t-2,3.2,
PD-0013,8,t-1,2.9,
PD-0013,9,t-0,3.0,
PD-0014,0,t-9,9.3,
PD-0014,1,t-8,9.3,
PD-0014,2,t-7,9.1,
